name of item,price,number of downloads,item URL
"DIY Canva Digital Soft Green Rainbow Party Invitation , Template , Electronic Birthday Invite , All Purpose , Mobile Phone Text Party Email",10.31,46,https://www.etsy.com/listing/1444710072/diy-canva-digital-soft-green-rainbow?click_key=754e8fdc8a7109c487038c93c83381ff3b007a6a%3A1444710072&click_sum=a90615e5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-14&dd=1
Animated Photo Collage Birthday Card Template for Mobile Phone. Contemporary design. Editable Canva. Greeting E-Card Video,26.13,376,https://www.etsy.com/listing/1404550125/animated-photo-collage-birthday-card?click_key=0952e98284ee924b158b11921fab4b26b81c0ba7%3A1404550125&click_sum=2670aad4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-15&sts=1&dd=1
eCARD Birthday Party Invitation for 18th 20th 30th 40th 50th | digital Whatsapp invitations | Personalized Animated Invitation Cards,47.54,630,https://www.etsy.com/listing/1317232632/ecard-birthday-party-invitation-for-18th?click_key=230a0c6dac4374be74fb2a88db01410de55f3ef6%3A1317232632&click_sum=a279a458&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725774-1-16&bes=1&sts=1&dd=1
"Printable Birthday Card, Birthday Card Downloadable, Birthday Card, We Heard There Was Cake, Two Sizes",4.93,1200,https://www.etsy.com/listing/862305079/printable-birthday-card-birthday-card?click_key=2c976899c4b645dd4fa99747deab9dd3f7192e15%3A862305079&click_sum=c08e4dfc&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-25&sts=1&dd=1
"Printable Birthday Card with Flowers, Floral Birthday Card, Printable Greeting Card, Print at Home",5.24,117,https://www.etsy.com/listing/1450713895/printable-birthday-card-with-flowers?click_key=cc5a42fdcc9474d3c0a13828d50fac0daf1366f1%3A1450713895&click_sum=091650bf&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-26&pro=1&bes=1&dd=1
"Greeting Card Drag & Drop Canva Template Bundle 5x7 4x6 and 4.75x4.75, Canva Template, Printable Card Template, Commercial Use Card Template",9.14,724,https://www.etsy.com/listing/1520771838/greeting-card-drag-drop-canva-template?click_key=692941b43fd484a3bf078fe14064b35bca74c22a%3A1520771838&click_sum=009c81f4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-27&pro=1&sts=1&dd=1
Get Canva Pro for Lifetime / 100% Unlock All Pro Features/ Canva Pro Edu,13.85,7,https://www.etsy.com/listing/1554880825/get-canva-pro-for-lifetime-100-unlock?click_key=5f664b2e5a87ccf07b0d051556241151507d1119%3A1554880825&click_sum=38ba127e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-28&pro=1&dd=1
"Canva Digital Greeting Card Mockups for Etsy Sellers - Easily create your listing images, with simple drag and drop templates!",20.18,58,https://www.etsy.com/listing/1514653882/canva-digital-greeting-card-mockups-for?click_key=e9a7c0d56f6d23a8fd9d1f0c64eec719f6dbe3f6%3A1514653882&click_sum=5f04d91c&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-29&pro=1&dd=1
"Canva Greeting Card Templates, Drag and Drop, 4x6 and 5x7 Foldable Cards",9.33,36,https://www.etsy.com/listing/1411489841/canva-greeting-card-templates-drag-and?click_key=2d45acc1370ba2b0c01870a7b4e657f4f2a81a7f%3A1411489841&click_sum=0deee1a5&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-30&pro=1&dd=1
"Drag and Drop Greeting Card Templates, A7 Printable Envelope Template, Editable Canva Template, Blank Templates, 5x7 Foldable Cards Download",13.94,470,https://www.etsy.com/listing/1493308910/drag-and-drop-greeting-card-templates-a7?click_key=61609d72bb0303593d538a7c373829949bd162a5%3A1493308910&click_sum=20cefea8&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-31&pro=1&sts=1&dd=1
"5""x7"" Invitation Card template, postcard, SVG, DXF, Ms Word docx, Png, Psd, 8.5""x11"" sheet, Canva, Printable, Instant Download",10.26,20200,https://www.etsy.com/listing/985719741/5x7-invitation-card-template-postcard?click_key=6daa6877faac00d5983ad76fc0cd822014e7da46%3A985719741&click_sum=d16b5927&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-32&pro=1&dd=1
Animated Photo Collage Birthday Card Template for Mobile Phone. Contemporary design. Editable Canva. Greeting E-Card Video,26.13,376,https://www.etsy.com/listing/1404550125/animated-photo-collage-birthday-card?click_key=dfeefbbdabbd2686dbe958574a0f4008eefb9206%3A1404550125&click_sum=236f5c6f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-33&sts=1&dd=1
Drag and Drop Greeting Card Templates | 4x6 and 5x7 Foldable Cards | Use on Canva and PNG | Instant Download,11.39,91,https://www.etsy.com/listing/1338163165/drag-and-drop-greeting-card-templates?click_key=d5ba638113015f8d4658dd8df5bf28d44ce522ab%3A1338163165&click_sum=4ff4982f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-34&dd=1
"Greeting Card Templates, 5x7 and 7x5, Foldable, Open in Canva, Drag and Drop Your Design, Instant Download",17.01,26,https://www.etsy.com/listing/1418038825/greeting-card-templates-5x7-and-7x5?click_key=48c7dab440f1648929cf888771572c10e0795a7c%3A1418038825&click_sum=49cb6817&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-35&dd=1
"Drag and Drop Greeting Card Template Set | 4x6, 5x7, and 4.75x4.75 Foldable Cards | Use on Canva and PNG | Instant Download",16.56,91,https://www.etsy.com/listing/1373032932/drag-and-drop-greeting-card-template-set?click_key=68db5f32fc57a6f44a8972f3b064c42826242198%3A1373032932&click_sum=afd72e34&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-36&dd=1
Happy Birthday Mom Card Printable Birthday day Card DIY Editable Canva Card Template Custom Photo Card for Mom Personalized Mothers day card,23.55,109,https://www.etsy.com/listing/1256462499/happy-birthday-mom-card-printable?click_key=021075c1fc961511f90f3f27327b14cf5aace1b0%3A1256462499&click_sum=f83e010e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-37&pro=1&sts=1&dd=1
"Editable Encanto Birthday Invitation Template, Encanto Invite, Encanto Party, Girls Birthday Invitation, Encanto Kids Party, Editable Canva",9.1,222,https://www.etsy.com/listing/1567485356/editable-encanto-birthday-invitation?click_key=f1afd0b66b8817772b7da6c97430980709ada6c4%3A1567485356&click_sum=b5c1b920&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=birthday+card+canva+template&ref=search_grid-725775-1-38&pro=1&bes=1&dd=1
